#{"t_start": 1784893584.981098, "env_id": "None"}
r,l,t
12.327028,250,0.602269
12.327028,250,0.686933
12.876169,259,0.775225
15.597335,307,0.961484
14.291304,283,1.057039
12.512201,253,1.140958
118.102002,363,1.264319
12.327028,250,1.397181
13.121542,263,1.485299
12.436382,252,1.569064
12.688759,256,1.653806
12.327028,250,1.78489
12.436382,252,1.868681
12.327028,250,1.952583
12.327028,250,2.036438
12.327028,250,2.168741
12.688759,256,2.254455
12.512201,253,2.338928
12.436382,252,2.422837
13.423735,268,2.559978
13.423735,268,2.649752
12.327028,250,2.733229
12.327028,250,2.816016
15.597335,307,2.969201
12.688759,256,3.055398
12.327028,250,3.139086
12.436382,252,3.222943
12.327028,250,3.353226
12.327028,250,3.43714
12.512201,253,3.521578
12.512201,253,3.605721
12.436382,252,3.737616
12.327028,250,3.837359
12.688759,256,3.923024
12.436382,252,4.007025
12.512201,253,4.139198
12.327028,250,4.222635
12.876169,259,4.308748
12.327028,250,4.391822
12.327028,250,4.523324
14.895791,294,4.622877
12.512201,253,4.708512
12.327028,250,4.792423
12.688759,256,4.925564
12.436382,252,5.010232
12.327028,250,5.093874
12.688759,256,5.179566
12.876169,259,5.313667
12.876169,259,5.400498
12.436382,252,5.485106
12.327028,250,5.568454
12.327028,250,5.700101
12.688759,256,5.785705
12.876169,259,5.871444
12.512201,253,5.971734
12.512201,253,6.104925
12.512201,253,6.189769
12.436382,252,6.274537
12.327028,250,6.358576
16.347271,321,6.517481
12.876169,259,6.603945
12.436382,252,6.68874
12.512201,253,6.773938
12.688759,256,6.9068
12.436382,252,6.99126
12.327028,250,7.075505
12.327028,250,7.162157
12.512201,253,7.340996
12.436382,252,7.431577
12.436382,252,7.522469
14.895791,294,7.640528
12.512201,253,7.773824
12.436382,252,7.859296
12.436382,252,7.943844
12.327028,250,8.02807
12.512201,253,8.160667
12.512201,253,8.245887
13.829474,275,9.237391
12.688759,256,9.323612
12.436382,252,9.455307
13.829474,275,9.548403
12.327028,250,9.632036
12.327028,250,9.716836
12.876169,259,9.856042
12.327028,250,9.96055
12.512201,253,10.06357
12.327028,250,10.155186
12.512201,253,10.28801
12.436382,252,10.373139
12.327028,250,10.457928
12.436382,252,10.54352
12.327028,250,10.675121
12.327028,250,10.759329
12.327028,250,10.843419
12.436382,252,10.927693
13.121542,263,11.063536
13.423735,268,11.153974
12.436382,252,11.237731
12.512201,253,11.322877
15.597335,307,11.474948
12.327028,250,11.558563
12.327028,250,11.64265
12.436382,252,11.727244
12.327028,250,11.877426
12.327028,250,11.961335
12.327028,250,12.045725
12.327028,250,12.129829
13.121542,263,12.265336
12.436382,252,12.350127
15.597335,307,12.454275
12.436382,252,12.538937
12.512201,253,12.678855
12.327028,250,12.768572
12.327028,250,12.862545
16.347271,321,13.036447
12.688759,256,13.124217
12.876169,259,13.214625
14.291304,283,13.330713
12.436382,252,13.465637
12.688759,256,13.5529
12.876169,259,13.639735
12.327028,250,13.72406
12.327028,250,13.856392
12.327028,250,13.946299
17.924732,350,14.076961
12.876169,259,14.165617
12.327028,250,14.318623
12.876169,259,14.407429
13.121542,263,14.497219
17.978004,259,14.590438
18.420991,358,14.773153
12.327028,250,14.858845
15.597335,307,14.985386
12.327028,250,15.118859
14.895791,294,15.220844
12.512201,253,15.307714
18.760608,361,15.432734
13.423735,268,15.573886
12.876169,259,15.661923
12.327028,250,15.745735
13.788071,254,15.831604
12.512201,253,15.967566
12.688759,256,16.066435
14.895791,294,16.17327
13.423735,268,16.271033
12.327028,250,16.405846
16.003361,298,16.525789
13.829474,275,16.620513
17.924732,350,16.790432
12.876169,259,16.878791
12.327028,250,16.963849
17.978004,259,17.051498
15.597335,307,18.076944
13.829474,275,18.170475
13.423735,268,18.261538
12.436382,252,18.346632
16.003361,298,18.495391
18.40536,352,18.617034
13.121542,263,18.705278
18.420991,358,18.87711
18.40536,352,19.013419
118.102002,363,19.139156
17.924732,350,19.307871
17.924732,350,19.42896
17.15267,336,19.544146
13.829474,275,19.686589
14.291304,283,19.78325
17.15267,336,19.898898
12.436382,252,19.983719
17.924732,350,20.152797
13.527738,251,20.238315
13.829474,275,20.331312
12.512201,253,20.464848
15.597335,307,20.570322
16.347271,321,20.680439
17.924732,350,20.854659
18.420991,358,20.994882
15.361798,280,21.125618
17.15267,336,21.293631
16.347271,321,21.404831
12.436382,252,21.49122
12.436382,252,21.577308
118.102002,363,21.749324
12.327028,250,21.834306
9.289195,267,21.92548
13.04456,250,22.012321
9.289195,267,22.150834
13.380683,250,22.2359
13.788071,254,22.322173
16.915316,318,22.431351
18.760608,361,22.60826
15.597335,307,22.718682
16.347271,321,22.866193
13.129647,262,23.003014
118.102002,363,23.130545
15.597335,307,23.235993
13.829474,275,23.37748
14.895791,294,23.478284
14.291304,283,23.574964
18.760608,361,23.746259
9.289195,267,23.838063
12.436382,252,23.923609
16.915316,318,24.032898
17.15267,336,24.196446
12.436382,252,24.281564
12.876169,259,24.369311
118.102002,363,24.542348
13.423735,268,24.633901
15.361798,280,24.730181
14.291304,283,24.827229
18.420991,358,24.997969
18.760608,361,25.140137
15.597335,307,25.244849
12.327028,250,25.383073
14.291304,283,25.485056
14.895791,294,25.5908
13.527738,251,25.69096
14.895791,294,25.839078
12.327028,250,25.925603
18.420991,358,26.957606
13.527738,251,27.091064
12.327028,250,27.17672
12.436382,252,27.264035
9.289195,267,27.35552
12.876169,259,27.490687
13.423735,268,27.586318
17.15267,336,27.708957
17.978004,259,27.8034
17.924732,350,28.004456
14.895791,294,28.105376
13.829474,275,28.200468
17.924732,350,28.369719
12.436382,252,28.471999
17.924732,350,28.594156
12.688759,256,28.680381
12.436382,252,28.813275
18.760608,361,28.938101
17.15267,336,29.054069
18.420991,358,29.226011
18.760608,361,29.35152
13.380683,250,29.435697
14.291304,283,29.580675
15.597335,307,29.687799
17.15267,336,29.804577
16.915316,318,29.960966
12.876169,259,30.049198
14.291304,283,30.145666
17.755907,337,30.261031
18.760608,361,30.433963
16.347271,321,30.544588
118.102002,363,30.670199
18.760608,361,30.842252
118.102002,363,30.982196
12.688759,256,31.069113
118.102002,363,31.251953
15.597335,307,31.362374
16.915316,318,31.484974
17.15267,336,31.652989
14.895791,294,31.753959
17.924732,350,31.87694
9.289195,267,32.016107
14.291304,283,32.113207
13.253725,266,32.204479
16.915316,318,32.313944
18.40536,352,32.483896
17.924732,350,32.621595
17.924732,350,32.743914
16.347271,321,32.905629
17.755907,337,33.028485
12.688759,256,33.121425
14.895791,294,33.289662
14.895791,294,33.390759
18.760608,361,33.516544
14.895791,294,33.66505
12.688759,256,33.752415
13.121542,263,33.841687
18.420991,358,33.966433
12.512201,253,34.100162
17.755907,337,34.216732
13.121542,263,34.306624
16.347271,321,34.481249
15.597335,307,34.587654
12.876169,259,34.675765
9.289195,267,34.767475
17.924732,350,35.884484
15.361798,280,35.98213
13.423735,268,36.073877
17.924732,350,36.24371
17.924732,350,36.367019
14.895791,294,36.467404
118.102002,363,36.670682
17.15267,336,36.796738
17.755907,337,36.919734
17.924732,350,37.098791
18.760608,361,37.225122
12.512201,253,37.311842
18.420991,358,37.483631
18.40536,352,37.606393
17.924732,350,37.729426
17.755907,337,37.894294
18.760608,361,38.019014
18.420991,358,38.142656
18.760608,361,38.315482
9.289195,267,38.406975
17.924732,350,38.543168
18.760608,361,38.715739
17.15267,336,38.831884
17.924732,350,38.953328
18.40536,352,39.122205
118.102002,363,39.248516
17.755907,337,39.364396
17.15267,336,39.528268
18.760608,361,39.653294
14.895791,294,39.754432
17.15267,336,39.940477
18.420991,358,40.076134
118.102002,363,40.210253
16.347271,321,40.390069
17.755907,337,40.506341
14.291304,283,40.603123
16.347271,321,40.713458
13.04456,250,40.845709
14.895791,294,40.946326
18.40536,352,41.067361
17.755907,337,41.231258
18.760608,361,41.359616
15.597335,307,41.48217
118.102002,363,41.674373
17.924732,350,41.797832
16.347271,321,41.908246
15.597335,307,42.077593
118.102002,363,42.203406
14.895791,294,42.303941
18.40536,352,42.472488
18.760608,361,42.597514
9.289195,267,42.689003
16.003361,298,42.837343
114.101423,267,42.928547
17.924732,350,43.050025
15.361798,280,43.144921
18.420991,358,43.321905
13.829474,275,43.421347
18.420991,358,43.558571
118.102002,363,43.739655
18.760608,361,43.880099
16.915316,318,44.867382
118.102002,363,45.04033
16.915316,318,45.150077
12.688759,256,45.236887
12.436382,252,45.369578
13.423735,268,45.461379
17.924732,350,45.582981
17.755907,337,45.698804
18.760608,361,45.877437
16.003361,298,45.98378
18.40536,352,46.112833
12.327028,250,46.246562
118.102002,363,46.372152
17.924732,350,46.495084
18.40536,352,46.663961
18.40536,352,46.785074
18.420991,358,46.909421
18.760608,361,47.082067
118.102002,363,47.207545
9.289195,267,47.298691
13.121542,263,47.43498
15.361798,280,47.529936
118.102002,363,47.655503
18.420991,358,47.826881
18.40536,352,47.94846
16.915316,318,48.057342
118.102002,363,48.230639
118.102002,363,48.371081
16.915316,318,48.480202
18.760608,361,48.653455
18.760608,361,48.789045
17.15267,336,48.926648
18.40536,352,49.14041
17.755907,337,49.258768
17.755907,337,49.374738
18.760608,361,49.549001
18.40536,352,49.670941
18.420991,358,49.795339
16.915316,318,49.952788
14.895791,294,50.054305
118.102002,363,50.179546
18.40536,352,50.348629
18.420991,358,50.472458
16.347271,321,50.582842
17.924732,350,50.758763
