#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
-28.081288,360,1.030041,False,False,False,False,False
52.931493,655,2.0238,False,True,False,False,False
53.313679,659,3.028187,False,True,False,False,False
-35.60983,360,3.618859,False,False,False,False,False
-50.969549,357,4.166468,False,False,False,False,False
53.250607,654,5.173106,False,True,False,False,False
-75.639559,309,5.667224,False,False,False,False,False
-28.348838,366,6.244781,False,False,False,False,False
51.618946,679,7.557712,False,True,False,False,False
-27.375426,356,8.104428,False,False,False,False,False
53.499698,656,9.15459,False,True,False,False,False
-61.069988,353,9.698599,False,False,False,False,False
-25.118164,346,10.229198,False,False,False,False,False
53.254471,644,11.254644,False,True,False,False,False
52.825366,638,12.227856,False,True,False,False,False
-26.450272,303,12.686382,False,False,False,False,False
-27.250506,360,13.242683,False,False,False,False,False
-27.173623,355,13.982165,False,False,False,False,False
51.873191,638,14.979701,False,True,False,False,False
-26.191629,306,15.45573,False,False,False,False,False
52.669984,637,16.426525,False,True,False,False,False
-23.222009,335,16.937312,False,False,False,False,False
-26.447611,303,17.405001,False,False,False,False,False
53.928627,662,18.429909,False,True,False,False,False
52.648509,638,19.428229,False,True,False,False,False
-27.251041,361,20.190274,False,False,False,False,False
52.100146,631,21.160167,False,True,False,False,False
-27.18424,359,21.714093,False,False,False,False,False
49.964418,665,22.736795,False,True,False,False,False
-26.055617,305,23.214579,False,False,False,False,False
-25.80271,305,23.683188,False,False,False,False,False
-27.082615,360,24.259415,False,False,False,False,False
-23.464342,312,24.753037,False,False,False,False,False
-35.044232,363,25.311971,False,False,False,False,False
52.445511,636,26.333308,False,True,False,False,False
52.314616,634,27.515437,False,True,False,False,False
53.456933,655,28.523522,False,True,False,False,False
-27.993154,358,29.073416,False,False,False,False,False
-27.743856,360,29.624732,False,False,False,False,False
-27.205909,359,30.193319,False,False,False,False,False
-22.091681,316,30.696098,False,False,False,False,False
53.25393,639,31.678296,False,True,False,False,False
52.830491,638,32.64975,False,True,False,False,False
-26.81256,304,33.31887,False,False,False,False,False
-23.394254,332,33.83127,False,False,False,False,False
-51.316458,355,34.385466,False,False,False,False,False
-27.586323,357,34.939592,False,False,False,False,False
-27.161198,355,35.486447,False,False,False,False,False
52.619393,636,36.469334,False,True,False,False,False
-24.37959,342,36.992626,False,False,False,False,False
-51.022891,359,37.598977,False,False,False,False,False
-28.144182,358,38.179321,False,False,False,False,False
-31.474633,292,38.623643,False,False,False,False,False
-23.126673,317,39.106467,False,False,False,False,False
-37.284842,361,39.662662,False,False,False,False,False
-26.07266,305,40.331079,False,False,False,False,False
52.866476,636,41.324824,False,True,False,False,False
-27.838947,360,41.882273,False,False,False,False,False
-26.319538,306,42.348347,False,False,False,False,False
52.021868,639,43.33217,False,True,False,False,False
-25.214001,306,43.826225,False,False,False,False,False
-23.103787,522,44.647333,False,True,False,False,False
-26.943828,304,45.11183,False,False,False,False,False
-27.325641,359,45.70479,False,False,False,False,False
-24.962207,304,46.167197,False,False,False,False,False
-28.090702,360,46.915701,False,False,False,False,False
-37.127035,363,47.476186,False,False,False,False,False
54.187891,660,48.492062,False,True,False,False,False
-25.962621,306,48.973365,False,False,False,False,False
-36.214097,363,49.531242,False,False,False,False,False
-27.469383,358,50.08485,False,False,False,False,False
-22.396559,340,50.627993,False,False,False,False,False
-25.3501,347,51.173717,False,False,False,False,False
-36.292278,365,51.732852,False,False,False,False,False
-27.260385,360,52.284255,False,False,False,False,False
-23.748624,338,52.800328,False,False,False,False,False
52.720016,638,53.996072,False,True,False,False,False
-27.320375,361,54.556319,False,False,False,False,False
-25.936018,304,55.022661,False,False,False,False,False
-25.972792,304,55.48663,False,False,False,False,False
-27.443637,358,56.041857,False,False,False,False,False
53.215874,640,57.067611,False,True,False,False,False
-31.315955,296,57.51942,False,False,False,False,False
52.765428,641,58.507508,False,True,False,False,False
54.68531,660,59.757707,False,True,False,False,False
-27.946371,358,60.309626,False,False,False,False,False
52.232501,636,61.289354,False,True,False,False,False
-25.105562,342,61.814804,False,False,False,False,False
-26.227819,304,62.277108,False,False,False,False,False
-36.85773,362,62.853742,False,False,False,False,False
-22.460853,314,63.354892,False,False,False,False,False
-25.080781,456,64.059528,False,True,False,False,False
-26.840567,363,64.635336,False,False,False,False,False
53.216609,656,65.643112,False,True,False,False,False
-27.633015,359,66.394336,False,False,False,False,False
-27.780247,355,66.944081,False,False,False,False,False
48.904258,673,67.981183,False,True,False,False,False
-23.203706,336,68.498158,False,False,False,False,False
52.258932,641,69.508934,False,True,False,False,False
-23.453386,338,70.053823,False,False,False,False,False
54.529173,653,71.061231,False,True,False,False,False
-24.037142,337,71.579938,False,False,False,False,False
53.016405,650,72.793923,False,True,False,False,False
53.517802,656,73.805176,False,True,False,False,False
-27.555336,362,74.368387,False,False,False,False,False
-25.977987,305,74.845954,False,False,False,False,False
-26.158389,305,75.30961,False,False,False,False,False
-24.332444,343,75.838289,False,False,False,False,False
-27.540323,359,76.394435,False,False,False,False,False
-35.426465,364,77.005562,False,False,False,False,False
52.074244,637,78.003238,False,True,False,False,False
53.299683,658,79.016937,False,True,False,False,False
-24.285535,342,79.740693,False,False,False,False,False
-27.323242,357,80.324391,False,False,False,False,False
-37.19634,276,90.895687,False,False,False,False,False
53.48725,656,91.906641,False,True,False,False,False
47.589935,725,93.042159,False,True,False,False,False
-36.802101,361,93.598009,False,False,False,False,False
-27.455164,359,94.150194,False,False,False,False,False
-26.459793,305,94.614005,False,False,False,False,False
52.40978,640,95.651628,False,True,False,False,False
52.341096,640,96.841068,False,True,False,False,False
53.602763,653,97.891504,False,True,False,False,False
-23.971064,340,98.412601,False,False,False,False,False
52.434778,640,99.390845,False,True,False,False,False
53.15659,662,100.452249,False,True,False,False,False
51.862678,638,101.429302,False,True,False,False,False
-22.789537,338,101.946319,False,False,False,False,False
-23.145855,319,102.44645,False,False,False,False,False
53.316836,656,103.651903,False,True,False,False,False
-36.096117,366,104.216893,False,False,False,False,False
-23.521717,339,104.736508,False,False,False,False,False
-22.369354,316,105.216519,False,False,False,False,False
-27.017729,361,105.787744,False,False,False,False,False
-27.89418,359,106.366753,False,False,False,False,False
-24.221471,342,106.891359,False,False,False,False,False
51.794865,641,107.888552,False,True,False,False,False
53.302432,643,108.874017,False,True,False,False,False
